role,username,full_name,bio,followers,following,is_private,status,ai_summary
target,dereckxcx,Dereckxcx,,"5,268","1,599",False,success,
follower,belnnn.__,Bel,,"1,320",958,False,success,
follower,m.p.r.g8,Maria Paula 🪵,,"1,189",467,False,success,
follower,mermelada_de_manzannnaa_,Paw,,111,23,False,success,
follower,angel4.scent._doll,.,,"1,089","3,294",False,success,
follower,jabi_jamon,Xavi,,"1,084","1,024",False,success,
follower,nicooodtv,N I C O,,"2,041",171,False,success,
follower,liscroesm,Liseth Croes,,"2,377","1,042",False,success,
follower,tinaa_valeee,TinaVale,,"1,497",724,False,success,
follower,pecass1265r._,✨ 𝓟𝓮𝓬𝓪𝓼𝓼  💔,,560,"1,783",False,success,
follower,_mari1_7,Mari,,"1,928","1,029",False,success,
follower,dxniel._.rc,ᴅᴀɴɪᴇʟ.,,"1,001",301,False,success,
follower,allize.op,,,217,333,False,success,
follower,romi.micaela_,𝚁𝚘𝚖𝚖𝚢 ◡̈,,677,760,False,success,
follower,rafita_ortega12,🫧 𝐂𝐡𝐢𝐧𝐢𝐭𝐚 🫧,,"1,124",488,False,success,
follower,ghxst_.nad,Nadine Paredes,,"1,539",421,False,success,
follower,izabella__sr,🌝 𝑰𝒛𝒉𝒂🥀,,699,324,False,success,
follower,emy_floresss_,Emy♡,,372,192,False,success,
follower,_l_i_z__2,L. I. X.,,60,108,False,success,
follower,mateotienequeganar,Zzzzz,,100,866,False,success,
follower,kaelizpg99,Kaeliz González,,"2,976",523,False,success,
follower,laelejustin,JUSTIN PRO MAX,,51,673,False,success,
follower,samy._.ramos,Samy Ramos,,270,296,False,success,
follower,juanomoca,Juan Manuel,,"4,787","7,804",False,success,
follower,_domm.sz,dominique,,"2,343",834,False,success,
follower,_bri.pazmino_,,,"1,757",958,False,success,
follower,maarvfl,maría,,"1,116",330,False,success,
follower,domm_armm,arm•,,322,33,False,success,
follower,miniilunaa_,minipollito,,"2,483",283,False,success,
follower,itts.sxrah,𝖘𝖆𝖗𝖎,,78,80,False,success,
follower,_4lejandra._02,ᴀ ʟ ᴇ,,"1,148",316,False,success,
follower,augusta_rojas.h,Augusta Rojas,,655,"1,224",False,success,
follower,valentinarivadeneira_,𝑉𝑎𝑙𝑒𝑛𝑡𝑖𝑛𝑎,,"1,166",100,False,success,
follower,bri_portilla_,⭒Brianna Sarahí⭒,,"2,442",333,False,success,
follower,sevilla_jose_,𝔱𝔥𝔬𝔪𝔞𝔰,,916,397,False,success,
follower,neithan.saad,N E I T H A N 🦇,,430,325,False,success,
follower,rj_priscila,Priscila Peralta🦋,,580,171,False,success,
follower,___anaa.aa,aana,,"1,209",378,False,success,
follower,matiwid,,,732,236,False,success,
follower,maatiweidmann,,,"2,853",577,False,success,
follower,crist1n4_1,Cristina._,,145,721,False,success,
follower,estefyyyy_13,estefany,,934,517,False,success,
follower,abbiigail._,carla abigail,,"1,299",85,False,success,
follower,karla_ruiii,Sarah,,94,686,False,success,
follower,elaltres,Altres,,389,467,False,success,
follower,stefy_nicole_zurita,Stefy,,268,803,False,success,
follower,lizprz_227,L,,707,196,False,success,
follower,when_valk,Valeska,,530,"2,579",False,success,
follower,anapau2_6,Ana Pau ♡,,"1,661","1,052",False,success,
follower,nofe_luis26,Patas🐍,,106,"1,224",False,success,
follower,inna_cano25,Inna Cano,,878,895,False,success,
follower,miriaqntc_,Florestm,,75,"1,063",False,success,
follower,leyendaryrecord,Leyendary Record 🇪🇨🐐,,963,"7,490",False,success,
follower,beoe_168,,,"1,317","6,962",False,success,
follower,prep_ara2,Licores Preparados,,350,"1,975",False,success,
follower,1blssd.mthxs,Mathias Revelo,,780,393,False,success,
follower,caa4mixx_,,,"4,196",311,False,success,
follower,paao_munozz,Pao Muñoz🌸,,"1,101",321,False,success,
follower,jordan.alvarez,Jordan Álvarez,,806K,430,False,success,
follower,lapida.by.jxhn,John Rodriguez,,524,573,False,success,
follower,glennaulestia,Glenn Aulestia,,39K,"5,734",False,success,
follower,elsa_capunta7,,,0,17,False,success,
follower,dani_merizalde_,Dani,,"1,784",823,False,success,
follower,jahiir_r,Jahiir,,"1,013",831,False,success,
follower,melanie.landazuri,Fernanda Landazuri,,"2,608",887,False,success,
follower,ari.luuv,Ari,,155,42,False,success,
follower,touringvibe,𝐓𝐎𝐔𝐑𝐈𝐍𝐆 𝐕𝐈𝐁𝐄,,"5,074",19K,False,success,
follower,dmorales8877,David Morales,,302,"2,429",False,success,
follower,amelierm12,ameliiie,,675,628,False,success,
follower,maia_thais.24,Maia🐬,,171,341,False,success,
follower,danna_villacis13,Danna,,65,64,False,success,
follower,andrea___lobato,andrea lobato,,1,120,False,success,
follower,____vxcc.f,picky,,580,520,False,success,
follower,card_bearblock,Card,,61,384,False,success,
follower,luu.xrixs,,,119,236,False,success,
follower,cristyestefa,estefania,,19K,156,False,success,
